TimeStamp;NodeID;NodeCount;SF;WorkerCount;Table name;time in ms;size in byte;speed
1402642018429;1;1;1.0;1;SUPPLIER;53;157383;2.8 MiB/s;
1402643621529;1;1;1.0;1;ALL;9955;164177766;15.7 MiB/s;
1402643621529;1;1;1.0;1;CUSTOMER;194;2698630;13.3 MiB/s;
1402643621529;1;1;1.0;1;LINEORDER;8698;142853594;15.7 MiB/s;
1402643621529;1;1;1.0;1;PART;594;18241094;29.3 MiB/s;
1402643621529;1;1;1.0;1;SUPPLIER;107;157383;1.4 MiB/s;
1402724515404;1;1;1.0;1;ALL;5822;132138632;21.6 MiB/s;
1402724515404;1;1;1.0;1;LINEORDER;5796;132138632;21.7 MiB/s;
1402724579167;1;1;1.0;1;ALL;11635;164177766;13.5 MiB/s;
1402724579167;1;1;1.0;1;CUSTOMER;121;2698630;21.3 MiB/s;
1402724579167;1;1;1.0;1;LINEORDER;10833;142853594;12.6 MiB/s;
1402724579167;1;1;1.0;1;PART;437;18241094;39.8 MiB/s;
1402724579167;1;1;1.0;1;SUPPLIER;53;157383;2.8 MiB/s;
1402725089657;1;1;1.0;1;ALL;5776;132138632;21.8 MiB/s;
1402725089657;1;1;1.0;1;LINEORDER;5764;132138632;21.9 MiB/s;
1402725105215;1;1;1.0;1;ALL;4006;87681798;20.9 MiB/s;
1402725105215;1;1;1.0;1;LINEORDER;3984;87681798;21.0 MiB/s;
1402725136023;1;1;1.0;1;ALL;3837;87681798;21.8 MiB/s;
1402725136023;1;1;1.0;1;LINEORDER;3801;87681798;22.0 MiB/s;
1402725464610;1;1;10.0;1;ALL;191773;5529234056;27.5 MiB/s;
1402725464610;1;1;10.0;1;LINEORDER;191750;5529234056;27.5 MiB/s;
1402817138091;1;1;10.0;1;ALL;182153;5529234056;28.9 MiB/s;
1402817138091;1;1;10.0;1;LINEORDER;182132;5529234056;29.0 MiB/s;
1402819144223;1;1;1.0;1;ALL;5463;94818048;16.6 MiB/s;
1402819144223;1;1;1.0;1;LINEORDER;5441;94818048;16.6 MiB/s;
1402820464033;1;1;1.0;1;ALL;17981;532425960;28.2 MiB/s;
1402820464033;1;1;1.0;1;LINEORDER;17951;532425960;28.3 MiB/s;
1402820748558;1;1;6.0;1;ALL;35836;584386206;15.6 MiB/s;
1402820748558;1;1;6.0;1;LINEORDER;35823;584386206;15.6 MiB/s;
1402977330860;1;1;1.0;1;ALL;17728;553750132;29.8 MiB/s;
1402977330860;1;1;1.0;1;CUSTOMER;103;2698630;25.0 MiB/s;
1402977330860;1;1;1.0;1;LINEORDER;16997;532425960;29.9 MiB/s;
1402977330860;1;1;1.0;1;PART;368;18241094;47.3 MiB/s;
1402977330860;1;1;1.0;1;SUPPLIER;44;157383;3.4 MiB/s;
1402977464955;1;1;1.0;1;ALL;6220;116142220;17.8 MiB/s;
1402977464955;1;1;1.0;1;CUSTOMER;103;2698630;25.0 MiB/s;
1402977464955;1;1;1.0;1;LINEORDER;5479;94818048;16.5 MiB/s;
1402977464955;1;1;1.0;1;PART;397;18241094;43.8 MiB/s;
1402977464955;1;1;1.0;1;SUPPLIER;57;157383;2.6 MiB/s;
1403017666899;1;1;1.0;1;ALL;6709;116142220;16.5 MiB/s;
1403017666899;1;1;1.0;1;CUSTOMER;101;2698630;25.5 MiB/s;
1403017666899;1;1;1.0;1;LINEORDER;5974;94818048;15.1 MiB/s;
1403017666899;1;1;1.0;1;PART;404;18241094;43.1 MiB/s;
1403017666899;1;1;1.0;1;SUPPLIER;50;157383;3.0 MiB/s;
